segment,local_ha,acc_ha,successor,cells,components,dist_med_m,dist_p95_m,dist_max_m,climb_mean_m,climb_p50_m,climb_p95_m,climb_max_m,frac_gt_0p1,frac_gt_0p5,frac_gt_1,frac_gt_2,nome_rio,nova_class,obs,st_length_,flag_pixels_gt1,flag_pixels_gt2,flag_max_climb_m,uncertainty_flag
4000,0.04,19.840000000000003,17994.0,4,1,4.117497048455849,5.310536086283056,5.351272116238172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,30.2754097979,0,0,0.0,
4114,2.04,9.5,29946.0,204,1,95.26325509567974,191.45846491901852,205.1281590873443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,60.9112820028,0,0,0.0,
4306,0.16,24.97,29319.0,16,1,36.0836864274645,99.01585522192885,109.23641816863636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,3.9522855977,0,0,0.0,
4669,0.42,2.0,12381.0,42,1,42.92746081540541,77.1714544704523,82.67846178538089,0.0270051956176757,0.0,0.0,1.1342182159423828,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0,,Corpo d'Água,Vistoriado por LF e AG - 19/02/19,5.99713466674,1,0,1.1342182159423828,microanomalia localizada; trecho vistoriado
4754,0.08,6.18,8161.0,8,1,7.438556653507711,24.84680342736603,29.78948928651176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,30.0338660963,0,0,0.0,
5103,0.75,4.119999999999999,25022.0,75,1,34.471067442595164,81.28435226690392,102.40722741471902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),Vistoriado por LF e AG - 19/02/19,74.7066612312,0,0,0.0,
5437,3.36,3.36,21018.0,336,1,53.71847017678621,153.1332244076517,194.5551880662916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Curso d'Água,,147.041092732,0,0,0.0,
5859,7.11,7.11,19026.0,711,1,53.80672217813356,143.24020739020557,202.558809612279,0.0055840085830366,0.0,0.0,2.390167236328125,0.0042194092827004,0.0042194092827004,0.0014064697609001,0.0014064697609001,,Curso d'Água,,319.506475303,1,1,2.390167236328125,microdepressão localizada de cabeceira; causa não determinada
6411,0.06,3.04,13991.0,6,1,6.356146162613568,19.02454830774584,20.99443737029616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada/via),Confirmado em vistoria por AG e LF - 19/02/19,36.8741577288,0,0,0.0,
6574,0.01,426.0999999999999,18508.0,1,1,2.486179463419315,2.486179463419315,2.486179463419315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Tubulado/Galeria Fechada/via),,8.45984880495,0,0,0.0,
